City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,acajutla,13.5928,-89.8275,86.74,57,69,7.02,SV,1697659275
83,qaqortoq,60.7167,-46.0333,28.96,62,4,6.71,GL,1697659276
84,thinadhoo,0.5333,72.9333,80.65,79,98,8.79,MV,1697659276
85,soto la marina,23.7667,-98.2167,90.36,25,8,11.27,MX,1697659276
86,gulu,2.7746,32.299,64.38,96,100,2.33,UG,1697659276
87,qulsary,46.9531,54.0198,47.95,55,99,0.4,KZ,1697659276
88,fort irwin,35.2627,-116.6848,85.82,14,0,0.0,US,1697659276
89,uturoa,-16.7333,-151.4333,79.03,78,19,10.74,PF,1697659276
90,port alfred,-33.5906,26.891,65.17,95,90,4.0,ZA,1697659277
91,kavaratti,10.5669,72.642,83.19,71,23,5.19,IN,1697659277
92,paracuru,-3.41,-39.0306,80.11,69,58,13.56,BR,1697659277
93,masterton,-40.9597,175.6575,57.88,53,13,4.97,NZ,1697659246
94,natal,-5.795,-35.2094,82.62,65,20,17.27,BR,1697659167
95,kuqa,41.7278,82.9364,53.4,40,57,3.91,CN,1697659228
96,yellowknife,62.456,-114.3525,44.42,94,100,15.01,CA,1697659095
97,nizhnesortymskiy,62.4397,71.7603,45.32,81,100,10.29,RU,1697659278
98,east london,-33.0153,27.9116,67.08,84,96,15.01,ZA,1697659278
99,talnakh,69.4865,88.3972,36.21,96,100,12.41,RU,1697659278
100,korla,41.7597,86.1469,48.04,35,0,3.11,CN,1697659278
101,san juan de miraflores,-12.1629,-76.9635,70.32,81,89,9.62,PE,1697659278
102,vorgashor,67.5833,63.95,32.65,83,45,13.6,RU,1697659278
103,whakatane,-37.9585,176.9854,62.78,81,64,1.41,NZ,1697659278
104,waingapu,-9.6567,120.2641,76.69,79,93,5.84,ID,1697659279
105,salym,60.0625,71.4789,46.63,86,100,6.64,RU,1697659279
106,tateyama,34.9833,139.8667,70.11,63,19,15.23,JP,1697659279
107,san pedro pochutla,15.7333,-96.4667,86.76,55,78,6.31,MX,1697659279
108,saudarkrokur,65.7461,-19.6394,38.19,84,100,6.42,IS,1697659279
109,akureyri,65.6835,-18.0878,46.33,61,20,8.05,IS,1697659280
110,conde,-7.2597,-34.9075,81.86,65,20,16.11,BR,1697659280
111,ballina,-28.8667,153.5667,57.78,70,94,9.46,AU,1697659280
112,udachny,66.4167,112.4,12.45,92,59,3.76,RU,1697659280
113,lata,40.1629,-8.3327,63.07,89,95,12.93,PT,1697659280
114,flying fish cove,-10.4217,105.6791,78.48,83,40,10.36,CX,1697659280
115,port douglas,-16.4833,145.4667,73.92,77,92,14.83,AU,1697659075
116,sal rei,16.1833,-22.9167,84.4,70,20,12.66,CV,1697659281
117,dakhla,23.6848,-15.958,73.42,88,1,13.8,EH,1697659281
118,bardai,11.65,7.2333,79.0,28,52,6.73,NG,1697659281
119,at taj,24.2049,23.2857,71.28,24,5,7.27,LY,1697659281
120,tura,25.5198,90.2201,67.8,89,0,2.84,IN,1697659281
121,qobustan,40.0824,49.412,61.97,76,100,4.68,AZ,1697659281
122,aqsay,51.1678,52.995,39.72,55,0,11.56,KZ,1697659281
123,dizangue,3.7667,9.9833,73.35,96,100,1.72,CM,1697659282
124,acarau,-2.8856,-40.12,81.37,67,4,16.26,BR,1697659282
125,constitucion,-35.3333,-72.4167,58.26,66,44,9.08,CL,1697659282
126,olinda,-8.0089,-34.8553,80.33,69,40,12.66,BR,1697659282
127,alice springs,-23.7,133.8833,49.55,29,0,5.75,AU,1697659215
128,brookings,44.3114,-96.7984,54.1,76,100,18.41,US,1697659197
129,kununurra,-15.7667,128.7333,62.58,72,0,0.0,AU,1697659092
130,cooper's town,26.8667,-77.5167,77.27,62,29,14.99,BS,1697659283
131,coahuayana de hidalgo,18.7,-103.6583,75.07,96,100,3.27,MX,1697659283
132,saldanha,-33.0117,17.9442,66.25,82,38,14.03,ZA,1697659283
133,puerto montt,-41.4698,-72.9447,67.03,63,20,8.05,CL,1697659283
134,aguilares,-27.4338,-65.6143,66.76,60,93,2.64,AR,1697659284
135,college,64.8569,-147.8028,29.07,89,100,11.5,US,1697659202
136,ryotsu-minato,38.0833,138.4333,63.64,75,93,11.68,JP,1697659284
137,slobodskoy,58.7322,50.1772,39.65,87,100,13.4,RU,1697659284
138,port lincoln,-34.7333,135.8667,60.78,52,22,8.95,AU,1697659284
139,albany,42.6001,-73.9662,58.89,68,100,1.77,US,1697659209
140,west island,-12.1568,96.8225,78.78,83,40,8.05,CC,1697659284
141,garissa,-0.4536,39.6401,80.56,67,100,17.56,KE,1697659284
142,lospalos,-8.5186,127.0025,68.41,89,51,1.92,TL,1697659285
143,saint-francois,46.4154,3.9054,62.04,95,75,4.61,FR,1697659285
144,georgetown,5.4112,100.3354,80.02,97,40,3.44,MY,1697659068
145,praia da vitoria,38.7333,-27.0667,71.85,94,75,22.19,PT,1697659285
146,khagaria,25.5,86.4833,72.1,71,0,5.91,IN,1697659285
147,amble,55.3333,-1.5833,53.74,82,98,24.16,GB,1697659285
148,atafu village,-8.5421,-172.5159,83.23,72,54,8.41,TK,1697659286
149,kapa'a,22.0752,-159.319,82.47,70,19,5.01,US,1697659286
150,puerto ayora,-0.7393,-90.3518,85.96,91,89,5.99,EC,1697659287
151,naze,28.3667,129.4833,61.72,60,0,1.32,JP,1697659287
152,aasiaat,68.7098,-52.8699,4.69,94,70,7.27,GL,1697659287
153,tupiza,-21.45,-65.7167,78.73,17,67,18.59,BO,1697659287
154,longyearbyen,78.2186,15.6401,33.64,75,75,25.32,SJ,1697659046
155,nguigmi,14.2495,13.1092,89.51,22,100,11.14,NE,1697659287
156,hincesti,46.8258,28.5936,45.97,66,0,6.2,MD,1697659287
157,la paz,-16.5,-68.15,58.98,50,75,12.66,BO,1697659206
158,bayanhongor,46.7167,100.1167,29.43,63,7,3.74,MN,1697659288
159,bang saphan,11.2126,99.5117,75.51,93,88,4.43,TH,1697659288
160,as sulayyil,20.4607,45.5779,80.85,19,0,6.58,SA,1697659288
161,kalamata,37.0389,22.1142,69.12,68,13,3.44,GR,1697659288
162,kovdor,67.5662,30.4758,23.27,90,95,6.38,RU,1697659289
163,pisco,-13.7,-76.2167,73.45,73,0,10.36,PE,1697659289
164,bamboo flat,11.7,92.7167,77.09,88,40,2.3,IN,1697659289
165,margaret river,-33.95,115.0667,49.48,91,31,7.58,AU,1697659004
166,san julian,21.0167,-102.1667,74.55,18,100,8.23,MX,1697659289
